shop_name,shop_number,address,phone,services
全家宜蘭國道店,019003,宜蘭縣宜蘭市東港路一段２５０號一樓,"03-9108245 , 03-9387674","Fami!ce(有販售店), 烤馬鈴薯, ChargeSPOT, picard, 塑環真®循環杯"
全家宜蘭東港店,017107,宜蘭縣宜蘭市中興里東港路二段５５２號、５５６號１樓,"03-9108007 , 03-9373859","夯番薯, 相片立可得, 休憩區, 烤馬鈴薯, ChargeSPOT, 鼎王麻辣蛋"
全家宜蘭進士店,021377,宜蘭縣宜蘭市南橋路４２７號,"03-9108197 , 03-9253745","夯番薯, Fami!ce(有販售店), 廁所, 休憩區, 烤馬鈴薯"
全家宜蘭陽大店,022362,宜蘭縣宜蘭市校舍路１６９號Ｂ１,"03-9108281 , 03-9385194","夯番薯, 休憩區, 烤馬鈴薯, SOHOT炎選-現烤點心, 鼎王麻辣蛋, 塑環真®循環杯, SOHOT炎選-炸烤物, 馬尚煮"
全家宜蘭轉運站店,023005,宜蘭縣宜蘭市校舍路１９０號,03-9387932,"Fami!ce(有販售店), 馬尚煮"
全家宜蘭福泰店,019975,宜蘭縣宜蘭市泰山路８３號,"03-9108110 , 03-9324868",
全家宜蘭新泰山店,017924,宜蘭縣宜蘭市泰山路５３５號１樓,03-9313137,"Fami!ce(有販售店), 廁所, 休憩區, Fami!ce(萌布朗店), 烤馬鈴薯, SOHOT炎選-現烤點心, ChargeSPOT, 蒸新鮮"
全家宜蘭神農店,022104,宜蘭縣宜蘭市神農路一段１０２號；農權路２５７，２５,"03-9108240 , 03-9313478","夯番薯, Fami!ce(有販售店), 休憩區, 烤馬鈴薯, ChargeSPOT"
全家宜蘭嵐峰店,016765,宜蘭縣宜蘭市嵐峰路１段１１０號１樓,"03-9108296 , 03-9326479","夯番薯, 廁所, 休憩區"
全家宜蘭陽明店,021652,宜蘭縣宜蘭市新民路１４８號,"03-9108107 , 03-9324729","夯番薯, Fami!ce(有販售店), 廁所, 休憩區, ChargeSPOT"
全家頭城車頭店,022286,宜蘭縣頭城鎮民鋒路３２號,"03-9108276 , 03-9782455","夯番薯, 相片立可得, Fami!ce(有販售店), 休憩區, ChargeSPOT, 塑環真®循環杯"
全家宜蘭二城店,021294,宜蘭縣頭城鎮青雲路一段２３８號１樓,"03-9108165 , 03-9870089","夯番薯, 廁所, 休憩區, SOHOT炎選-現烤點心, ChargeSPOT"
全家頭城省道店,019612,宜蘭縣頭城鎮二城里青雲路一段１號,"03-9108527 , 03-9870631","Fami!ce(雙口味店), 好市多專架, ChargeSPOT, picard"
全家頭城梗枋店,021239,宜蘭縣頭城鎮濱海路三段１２號全部,03-9771430,"烤馬鈴薯, ChargeSPOT, 鼎王麻辣蛋"
全家宜蘭大溪店,016092,宜蘭縣頭城鎮大溪里濱海路五段４７０號４７２號,"03-9108275 , 03-9781195","休憩區, Fami!ce(雙口味店), 烤馬鈴薯, SOHOT炎選-現烤點心, ChargeSPOT, 鼎王麻辣蛋, SOHOT炎選-炸烤物"
全家宜蘭礁溪店,015027,宜蘭縣礁溪鄉中山路二段１４４號,"03-9108295 , 03-9870468","夯番薯, 休憩區, ChargeSPOT"
全家礁溪滿意店,021892,宜蘭縣礁溪鄉中山路二段５７號一樓,"03-9108529 , 03-9881671","Fami!ce(有販售店), 烤馬鈴薯, ChargeSPOT, 鼎王麻辣蛋, 塑環真®循環杯"
全家礁溪仁愛店,017270,宜蘭縣礁溪鄉仁愛路１６號１樓,"03-9108154 , 03-9872033","夯番薯, Fami!ce(有販售店), 廁所, 休憩區, 烤馬鈴薯, ChargeSPOT, 鼎王麻辣蛋, 蒸新鮮"
全家礁溪玉田店,021922,宜蘭縣礁溪鄉玉龍路一段５５０號,03-9871971,"Fami!ce(有販售店), Fami!ce(萌布朗店), 烤馬鈴薯, 鼎王麻辣蛋"
全家礁溪健康店,019182,宜蘭縣礁溪鄉健康路５０號１樓之１,"03-9108272 , 03-9874587","夯番薯, 休憩區, Fami!ce(雙口味店), 好市多專架, ChargeSPOT"
全家礁溪關帝店,019183,宜蘭縣礁溪鄉礁溪路４段２６號１＆２樓,"03-9108342 , 03-9880064",ChargeSPOT
全家壯圍功勞店,022485,宜蘭縣壯圍鄉功勞路１９之１號１樓,03-9305772,"Fami!ce(雙口味店), Fami!ce(圓滾滾店), 烤馬鈴薯"
全家壯圍吉祥店,022709,宜蘭縣壯圍鄉壯五路２７８號１樓,"03-9108003 , 03-9388144","夯番薯, 休憩區, ChargeSPOT, picard"
全家壯圍濱海店,021643,宜蘭縣壯圍鄉壯濱路三段３０６－１號,03-9308929,"Fami!ce(有販售店), 烤馬鈴薯, 鼎王麻辣蛋, 馬尚煮"
全家壯圍美功店,022218,宜蘭縣壯圍鄉美功路一段１６８號,"03-9108005 , 03-9309263","夯番薯, 廁所, 休憩區, Fami!ce(雙口味店), 烤馬鈴薯, 好市多專架, ChargeSPOT, 塑環真®循環杯"
全家宜蘭內城店,020385,宜蘭縣員山鄉內城路４５５號１樓,"03-9108262 , 03-9230814","夯番薯, 休憩區, ChargeSPOT, 鼎王麻辣蛋"
全家宜蘭員山店,023654,宜蘭縣員山鄉員山路一段１２２號１樓,"03-9108263 , 03-9233360","夯番薯, 休憩區, ChargeSPOT"
全家員山惠民店,021513,宜蘭縣員山鄉惠民路１３４號,03-9225049,"Fami!ce(有販售店), 烤馬鈴薯, 鼎王麻辣蛋, 塑環真®循環杯"
全家宜蘭內員山店,023404,宜蘭縣員山鄉溫泉路１０號、１０之１號,"03-9108271 , 03-9233004","夯番薯, 廁所, 休憩區, ChargeSPOT"
全家羅東中榮店,021052,宜蘭縣羅東鎮中山路二段２８３號及２８５號壹樓,"03-9103115 , 03-9603394","Fami!ce(有販售店), 烤馬鈴薯, picard, 鼎王麻辣蛋"
全家羅東南豪店,018906,宜蘭縣羅東鎮中正南路１９號壹樓,"03-9108039 , 03-9578051","夯番薯, 廁所, 休憩區, Fami!ce(雙口味店), ChargeSPOT"
全家羅東南門店,018277,宜蘭縣羅東鎮中正路１號,"03-9108310 , 03-9574266","夯番薯, 廁所, ChargeSPOT"
全家羅東公正店,014626,宜蘭縣羅東鎮公正路５５１號．５５３號．５５５號,"03-9108321 , 03-9511509","夯番薯, 廁所, 休憩區, ChargeSPOT, 塑環真®循環杯"
全家羅東站前店,014481,宜蘭縣羅東鎮公正路６１號,"03-9108037 , 03-9561480","夯番薯, Fami!ce(有販售店), 休憩區, 烤馬鈴薯, ChargeSPOT"
全家羅東車站店,018563,宜蘭縣羅東鎮公正路２號,"03-9108241 , 03-9565416","夯番薯, 烤馬鈴薯, ChargeSPOT"
全家羅東民族店,020009,宜蘭縣羅東鎮公園路５０號,"03-9108531 , 03-9542728","烤馬鈴薯, ChargeSPOT, picard"
全家羅東北城店,017630,宜蘭縣羅東鎮四育路７１號,"03-9108322 , 03-9616687","Fami!ce(有販售店), 廁所, 休憩區, 烤馬鈴薯, ChargeSPOT, picard"
全家羅東天祥店,017109,宜蘭縣羅東鎮南昌東街３９號１樓,"03-9108325 , 03-9534547","夯番薯, Fami!ce(有販售店), 廁所, 休憩區, Fami!ce(萌布朗店), SOHOT炎選-現烤點心, ChargeSPOT, 鼎王麻辣蛋"
全家羅東新興東店,020026,宜蘭縣羅東鎮純精路一段２３６號一樓,"03-9108118 , 03-9545949","廁所, 休憩區"
全家羅東鑫復興店,021352,宜蘭縣羅東鎮復興路二段２６６號,"03-9103122 , 03-9553056","Fami!ce(有販售店), 烤馬鈴薯, 鼎王麻辣蛋, 塑環真®循環杯"
全家羅東倉前店,015898,宜蘭縣羅東鎮公正里興東路１６１號一樓,"03-9108320 , 03-9578240","夯番薯, Fami!ce(有販售店), 休憩區, ChargeSPOT, 鼎王麻辣蛋, 塑環真®循環杯"
全家羅東金鼎店,019009,宜蘭縣羅東鎮興東路８之１號１樓,"03-9108326 , 03-9578277","夯番薯, 休憩區, Fami!ce(雙口味店), Fami!ce(圓滾滾店), ChargeSPOT"
全家宜蘭天送埤店,016888,宜蘭縣三星鄉三星路七段３２２號,"03-9108015 , 03-9894021","夯番薯, 廁所, 休憩區"
全家三星大洲店,020297,宜蘭縣三星鄉上將路二段４３５號部份,"03-9108403 , 03-9557313","Fami!ce(有販售店), 烤馬鈴薯, SOHOT炎選-現烤點心, ChargeSPOT, picard, 塑環真®循環杯"
全家大同南山店,022902,宜蘭縣大同鄉泰雅路七段１３７號,"03-9108175 , 03-9809056","夯番薯, 廁所, 休憩區, 烤馬鈴薯, SOHOT炎選-現烤點心, 好市多專架, ChargeSPOT, 福爾摩沙茶館, 鼎王麻辣蛋, SOHOT炎選-炸烤物, 馬尚煮"
全家五結國道店,017505,宜蘭縣五結鄉中興路一段１７７號１樓,03-9604824,"夯番薯, 廁所, 休憩區, 烤馬鈴薯, ChargeSPOT, picard, 鼎王麻辣蛋, 塑環真®循環杯"
全家宜蘭五結店,019475,宜蘭縣五結鄉五結中路１７、１９號,"03-9108016 , 03-9603371","廁所, 休憩區"
全家五結興盛店,020288,宜蘭縣五結鄉五結路三段７５１號１Ｆ,"03-9108017 , 03-9553470","夯番薯, Fami!ce(有販售店), 休憩區, 烤馬鈴薯, ChargeSPOT"
全家五結濱海店,017110,宜蘭縣五結鄉季新村五濱路二段２３０號一樓,"03-9108020 , 03-9503632","夯番薯, 廁所, 休憩區, Fami!ce(雙口味店), 烤馬鈴薯, ChargeSPOT, 鼎王麻辣蛋"
全家五結鑫利成店,020450,宜蘭縣五結鄉利成路一段５－１號,"03-9108089 , 03-9603740","夯番薯, 廁所, 休憩區, Fami!ce(雙口味店), 烤馬鈴薯, SOHOT炎選-現烤點心, 好市多專架, ChargeSPOT"
全家五結利澤店,018276,宜蘭縣五結鄉利澤村利成路二段３９０號一樓,"03-9108019 , 03-9604483",
全家宜蘭薪傳店,020696,宜蘭縣五結鄉傳藝路二段１５６號一樓及停車場,"03-9108068 , 03-9601397","夯番薯, 廁所, 休憩區, Fami!ce(雙口味店), Fami!ce(圓滾滾店), 烤馬鈴薯, ChargeSPOT, 塑環真®循環杯"
全家冬山中心店,021011,宜蘭縣冬山鄉冬山路１０８號一樓,03-9592744,"Fami!ce(有販售店), 烤馬鈴薯, picard, 鼎王麻辣蛋, 塑環真®循環杯"
全家冬山群英店,015068,宜蘭縣冬山鄉冬山路三段５９５號,"03-9108115 , 03-9583538","廁所, 休憩區, ChargeSPOT"
全家冬山永興店,019976,宜蘭縣冬山鄉永興路一段１號１樓,"03-9108099 , 03-9587433","夯番薯, 廁所, 休憩區, ChargeSPOT"
全家冬山梅花店,020880,宜蘭縣冬山鄉廣興村梅花路２８０號壹樓,"03-9103110 , 03-9614408","Fami!ce(有販售店), 烤馬鈴薯, picard"
全家冬山義新店,018250,宜蘭縣冬山鄉義成路三段４０９號,"03-9108038 , 03-9587507","夯番薯, Fami!ce(有販售店), 休憩區, Fami!ce(萌布朗店), ChargeSPOT, picard"
全家冬山義成店,016142,宜蘭縣冬山鄉義成路三段三一六號一樓,"03-9108021 , 03-9585625","夯番薯, 休憩區, 塑環真®循環杯"
全家宜蘭廣源店,016970,宜蘭縣冬山鄉廣興路４８號,"03-9108002 , 03-9517357","夯番薯, 相片立可得, Fami!ce(有販售店), 廁所, 休憩區, 烤馬鈴薯, SOHOT炎選-現烤點心, ChargeSPOT, picard, 鼎王麻辣蛋, 塑環真®循環杯, SOHOT炎選-炸烤物"
全家宜蘭廣鑫店,022405,宜蘭縣冬山鄉廣興路２６７號,"03-9109653 , 03-9518485","廁所, 休憩區"
全家蘇澳馬賽店,017552,宜蘭縣蘇澳鎮大同路７號１樓,"03-9108008 , 03-9909822","夯番薯, 相片立可得, Fami!ce(有販售店), 廁所, 休憩區, SOHOT炎選-現烤點心, 塑環真®循環杯"
全家蘇澳車頭店,021298,宜蘭縣蘇澳鎮蘇南里中山路一段６３號一樓,"03-9108329 , 03-9952603",休憩區
全家蘇澳聖湖店,018417,宜蘭縣蘇澳鎮聖湖里中山路二段３１號一樓,"03-9108009 , 03-9954216","夯番薯, Fami!ce(有販售店), 休憩區, 烤馬鈴薯, SOHOT炎選-現烤點心, ChargeSPOT, 鼎王麻辣蛋, 塑環真®循環杯, SOHOT炎選-炸烤物, 馬尚煮"
全家宜蘭鑫南澳店,023132,宜蘭縣蘇澳鎮蘇花路二段３２０號一樓,03-9984217,
全家蘇澳國道店,018928,宜蘭縣蘇澳鎮新城里蘇新路８１號１樓,"03-9108243 , 03-9596621","Fami!ce(有販售店), Fami!ce(萌布朗店), 烤馬鈴薯, 咖啡複合店, SOHOT炎選-現烤點心, 福爾摩沙茶館, 鼎王麻辣蛋, 塑環真®循環杯, SOHOT炎選-炸烤物, 馬尚煮"
全家宜蘭東澳店,022959,宜蘭縣南澳鄉東岳村蘇花路三段２０１號一樓,"03-9108087 , 03-9986229","夯番薯, 廁所, 休憩區, 生鮮蔬菜, ChargeSPOT"
全家花蓮富強店,022188,花蓮縣花蓮市中山路７０８號１樓,"03-8909602 , 03-8465247","夯番薯, Fami!ce(有販售店), 廁所, 休憩區, SOHOT炎選-現烤點心, 鼎王麻辣蛋"
全家花蓮國安店,016927,花蓮縣花蓮市中山路４０６－２號,"03-8909640 , 03-8311590","夯番薯, Fami!ce(有販售店), 休憩區, Fami!ce(萌布朗店), 鼎王麻辣蛋"
全家花蓮建中店,015553,花蓮縣花蓮市中山路５４７－２號,"03-8909637 , 03-8315576","夯番薯, 相片立可得, 休憩區, Fami!ce(雙口味店), Fami!ce(圓滾滾店), 烤馬鈴薯, 好市多專架, 鼎王麻辣蛋, 塑環真®循環杯"
全家花蓮大愛店,019575,花蓮縣花蓮市中央路三段７０７號（大愛樓地下室超商）,"03-8909336 , 03-8466456","夯番薯, 烤馬鈴薯, 塑環真®循環杯"
全家花蓮慈濟店,014869,花蓮縣花蓮市中央路三段７０７號３樓,"03-8573640 , 03-8571610","夯番薯, Fami!ce(有販售店), 烤馬鈴薯, SOHOT炎選-現烤點心, 鼎王麻辣蛋, 蒸新鮮, 塑環真®循環杯"
全家花蓮榮正店,023434,花蓮縣花蓮市中正路２０７號．２０９號,"03-8909628 , 03-8336312","夯番薯, 廁所, 休憩區, Fami!ce(雙口味店), 好市多專架"
全家花蓮正義店,015690,花蓮縣花蓮市中正路４１３號１樓,"03-8909600 , 03-8326265","夯番薯, 相片立可得, 廁所, 休憩區, 鼎王麻辣蛋"
全家花蓮正明店,019439,花蓮縣花蓮市中正路６３３號,"03-8909635 , 03-8335750","夯番薯, 休憩區"
全家花蓮正國店,022710,花蓮縣花蓮市中正路５６９號,"03-8909636 , 03-8358084","夯番薯, Fami!ce(有販售店), 烤馬鈴薯, 鼎王麻辣蛋, 塑環真®循環杯"
全家花蓮中福店,020008,花蓮縣花蓮市中正路２６８號１樓,"03-8909633 , 03-8320342","夯番薯, 休憩區, 烤馬鈴薯, SOHOT炎選-現烤點心, 好市多專架, picard, 鼎王麻辣蛋, 塑環真®循環杯, SOHOT炎選-炸烤物"
全家花蓮新美店,023016,花蓮縣花蓮市中興路１８２號１樓,"03-8909415 , 03-8236890","夯番薯, Fami!ce(有販售店), 廁所, 休憩區, SOHOT炎選-現烤點心, 好市多專架, 智能咖啡機, picard, 鼎王麻辣蛋, 塑環真®循環杯, SOHOT炎選-炸烤物, 馬尚煮"
全家花蓮光復店,022685,花蓮縣花蓮市民國路１２１號,"03-8909002 , 03-8316381","夯番薯, 廁所, 休憩區, Fami!ce(雙口味店), SOHOT炎選-現烤點心, 好市多專架, 鼎王麻辣蛋, 蒸新鮮, 塑環真®循環杯"
全家花蓮遠百店,019290,花蓮縣花蓮市林森路１９１號１樓,"03-8909312 , 03-8310861","Fami!ce(有販售店), 烤馬鈴薯, SOHOT炎選-現烤點心, 好市多專架, 福爾摩沙茶館, picard, 鼎王麻辣蛋, 蒸新鮮, 塑環真®循環杯"
全家花蓮博愛店,020049,花蓮縣花蓮市林森路２５０號,"03-8909305 , 03-8352319","夯番薯, 相片立可得, Fami!ce(有販售店), 廁所, 休憩區, 烤馬鈴薯, 好市多專架"
全家花蓮慈安店,019258,花蓮縣花蓮市建國路二段８７６號,"03-8909626 , 03-8463933","夯番薯, 相片立可得, 廁所, 休憩區, Fami!ce(雙口味店), Fami!ce(圓滾滾店), 烤馬鈴薯, SOHOT炎選-現烤點心, 好市多專架, 鼎王麻辣蛋, gogoro電池交換站, 塑環真®循環杯"
全家花蓮車站店,018690,花蓮縣花蓮市國聯一路１００號１樓,"03-8909026 , 03-8311943","夯番薯, 烤馬鈴薯, 鼎王麻辣蛋"
全家花蓮國盛店,017992,花蓮縣花蓮市國聯五路１２６、１２８號１樓,"03-8909616 , 03-8328037","夯番薯, 相片立可得, 休憩區, SOHOT炎選-現烤點心, 好市多專架, 鼎王麻辣蛋, SOHOT炎選-炸烤物"
全家花蓮國興店,020618,花蓮縣花蓮市國聯五路５９號,"03-8909617 , 03-8322092","夯番薯, 休憩區"
全家花蓮德順店,015922,花蓮縣花蓮市德安一街２２３號１樓,"03-8909630 , 03-8337071","夯番薯, 休憩區"
全家新城佳山店,019900,花蓮縣新城鄉佳林村佳林１０５號,03-8268488,休憩區
全家新城富山店,020220,花蓮縣新城鄉北三棧１１９號,"03-8909313 , 03-8611479","Fami!ce(雙口味店), SOHOT炎選-現烤點心, picard, 鼎王麻辣蛋, 塑環真®循環杯, SOHOT炎選-炸烤物"
全家新城光隆店,022833,花蓮縣新城鄉康樂村加灣１之２號,03-8264920,"SOHOT炎選-現烤點心, 鼎王麻辣蛋, SOHOT炎選-炸烤物"
全家新城望海店,019917,花蓮縣新城鄉七星街１１０號,"03-8909613 , 03-8233371","夯番薯, Fami!ce(有販售店), 休憩區, Fami!ce(萌布朗店), SOHOT炎選-現烤點心, 鼎王麻辣蛋, SOHOT炎選-炸烤物"
全家新城北埔店,022128,花蓮縣新城鄉北埔路１５９號一樓,"03-8909003 , 03-8269462","夯番薯, 休憩區"
全家新城嘉新店,021375,花蓮縣新城鄉嘉新村花師街３７號一樓,"03-8220672 , 03-8226046","夯番薯, 生鮮蔬菜, 烤馬鈴薯, SOHOT炎選-現烤點心, 鼎王麻辣蛋, SOHOT炎選-炸烤物, 馬尚煮"
全家新城康樂店,017111,花蓮縣新城鄉康樂村康樂路２７９號,"03-8909612 , 03-8262100","夯番薯, 休憩區, 福爾摩沙茶館"
全家新城太魯閣店,016143,花蓮縣新城鄉新城村新興路５３號１樓,"03-8909610 , 03-8610632","夯番薯, 廁所, 休憩區, Fami!ce(雙口味店), 烤馬鈴薯, SOHOT炎選-現烤點心, 好市多專架, gogoro電池交換站"
全家新城嘉平店,022210,花蓮縣新城鄉嘉里村嘉里三街８０之１號,"03-8900239 , 03-8267086","Fami!ce(有販售店), SOHOT炎選-現烤點心"
全家新城民益店,014596,花蓮縣新城鄉嘉新村嘉新路４５號,"03-8909601 , 03-8225610","夯番薯, 廁所, 休憩區, Fami!ce(雙口味店), 好市多專架, 福爾摩沙茶館, 鼎王麻辣蛋, gogoro電池交換站, 塑環真®循環杯"
全家秀林崇德店,018979,花蓮縣秀林鄉崇德村海濱７號１樓,"03-8909532 , 03-8621419","Fami!ce(有販售店), picard"
全家秀林和平店,020442,花蓮縣秀林鄉和平村和平路１８７號一樓,"03-8909609 , 03-8682172","夯番薯, 休憩區"
全家吉安宜安店,023086,花蓮縣吉安鄉中山路二段７１之２號,"03-8900271 , 03-8540386","Fami!ce(有販售店), Fami!ce(萌布朗店), 烤馬鈴薯, 塑環真®循環杯"
全家吉安慶豐店,016999,花蓮縣吉安鄉慶豐村中山路三段４５０號一樓,"03-8909625 , 03-8521566","夯番薯, 休憩區, SOHOT炎選-現烤點心, 鼎王麻辣蛋"
全家吉安仁里店,019532,花蓮縣吉安鄉仁里村中正路１段１５３號，１５５號１樓,"03-8909619 , 03-8546913","夯番薯, Fami!ce(有販售店), 休憩區, 烤馬鈴薯, SOHOT炎選-現烤點心, 好市多專架, 福爾摩沙茶館, 鼎王麻辣蛋, 塑環真®循環杯"
全家吉安宜昌店,018415,花蓮縣吉安鄉中華路二段１６１號１樓,"03-8909621 , 03-8536892","夯番薯, 廁所, 休憩區"
全家吉安仁安店,021282,花蓮縣吉安鄉仁里五街４８－１號,"03-8909376 , 03-8546601","夯番薯, Fami!ce(有販售店), 休憩區, SOHOT炎選-現烤點心, picard, 鼎王麻辣蛋, 塑環真®循環杯"
全家吉安昌吉店,021867,花蓮縣吉安鄉吉安路一段２０號,"03-8900237 , 03-8460019","Fami!ce(有販售店), SOHOT炎選-現烤點心, 鼎王麻辣蛋, 塑環真®循環杯"
全家吉安鑫莊敬店,015318,花蓮縣吉安鄉自強路６０３號,"03-8909192 , 03-8561115","夯番薯, 相片立可得, 休憩區, Fami!ce(雙口味店), SOHOT炎選-現烤點心, 好市多專架"
全家吉安和平店,017755,花蓮縣吉安鄉自強路３９５號之１,"03-8909331 , 03-8564431","夯番薯, 廁所, 休憩區, 塑環真®循環杯"
全家吉安自強店,018885,花蓮縣吉安鄉勝安村自強路１２９號一樓１３１號,"03-8909620 , 03-8514770","夯番薯, 相片立可得, Fami!ce(有販售店), 廁所, 休憩區, 烤馬鈴薯, 塑環真®循環杯"
全家吉安福興店,020012,花蓮縣吉安鄉福興路２３２－１號,"03-8909623 , 03-8541041","夯番薯, 廁所, 休憩區, Fami!ce(雙口味店), Fami!ce(圓滾滾店), 烤馬鈴薯, SOHOT炎選-現烤點心, 好市多專架, 塑環真®循環杯, SOHOT炎選-炸烤物, 馬尚煮"
全家壽豐東華店,022850,花蓮縣壽豐鄉大學路二段１號（東華大學六期學生宿舍）,"03-8630008 , 03-8630021","夯番薯, Fami!ce(有販售店), 烤馬鈴薯, SOHOT炎選-現烤點心, 鼎王麻辣蛋, SOHOT炎選-炸烤物, 馬尚煮"
全家壽豐東華二店,022986,花蓮縣壽豐鄉大學路二段１號（多容館）,"03-8909096 , 03-8630329","夯番薯, Fami!ce(有販售店), 休憩區, 烤馬鈴薯, SOHOT炎選-現烤點心, 鼎王麻辣蛋, SOHOT炎選-炸烤物, 馬尚煮"
全家壽豐東湖店,020929,花蓮縣壽豐鄉志學村大學路２段１號（湖畔之心）,03-8630177,"Fami!ce(有販售店), 烤馬鈴薯, 咖啡複合店, SOHOT炎選-現烤點心, picard"
全家壽豐豐田店,021182,花蓮縣壽豐鄉豐山村中山路１９５號,"03-8909608 , 03-8652750","夯番薯, 休憩區, 鼎王麻辣蛋"
全家壽豐農會店,021579,花蓮縣壽豐鄉中山路五段６０號,03-8653896,"Fami!ce(有販售店), 烤馬鈴薯"
全家壽豐志學店,019083,花蓮縣壽豐鄉志學村中正路１７號,"03-8909606 , 03-8664996","夯番薯, 休憩區, 好市多專架"
全家光復車站店,019316,花蓮縣光復鄉中山路二段２２３號,"03-8909329 , 03-8701110","夯番薯, 廁所, 休憩區, Fami!ce(雙口味店), 烤馬鈴薯, SOHOT炎選-現烤點心, 智能咖啡機, SOHOT炎選-炸烤物"
全家瑞穗車站店,018416,花蓮縣瑞穗鄉瑞穗村中正北路１號一樓,"03-8909603 , 03-8875375","夯番薯, 廁所, 休憩區"
全家瑞穗瑞雄店,021693,花蓮縣瑞穗鄉溫泉路三段１７９．１８１號,"03-8909605 , 03-8873982","夯番薯, 休憩區"
全家玉里中山店,021749,花蓮縣玉里鎮中山路二段５４號,03-8883433,Fami!ce(有販售店)
全家玉里玉溪店,020565,花蓮縣玉里鎮中華路１７７號,"03-8909652 , 03-8980425","夯番薯, 廁所, 休憩區, Fami!ce(雙口味店), SOHOT炎選-現烤點心, 好市多專架, picard, SOHOT炎選-炸烤物"
全家富里御皇米店,020707,花蓮縣富里鄉東里村大莊路１之１號,"03-8909460 , 03-8861715","Fami!ce(有販售店), 烤馬鈴薯, picard"
全家台東香蘭店,022043,台東縣太麻里鄉新香蘭２之５號及其停車場,"089-719275 , 089-780258","Fami!ce(有販售店), 烤馬鈴薯, picard, 蒸新鮮, 穆斯林友善商品店舖"
全家台東大同店,019282,台東縣台東市復國里大同路１６３號１樓,"089-719247 , 089-360595","夯番薯, 廁所, 休憩區, Fami!ce(雙口味店), 塑環真®循環杯"
全家台東文化店,020717,台東縣台東市中山里中山路３４５號１、２樓,"089-719131 , 089-341912","夯番薯, 休憩區"
全家台東鐵花店,017383,台東縣台東市中華路一段５７５號,"089-719219 , 089-338872","夯番薯, 休憩區, Fami!ce(雙口味店), 塑環真®循環杯"
全家台東金塊店,021765,台東縣台東市中華路一段２７６號一樓,089-341896,"Fami!ce(有販售店), 烤馬鈴薯, 塑環真®循環杯"
全家台東豐里店,017235,台東縣台東市中華路三段２５７號１樓,"089-719185 , 089-318596","夯番薯, 休憩區, 蒸新鮮"
全家台東寶桑店,015621,台東縣台東市中興路一段２１１號,"089-719218 , 089-239683","夯番薯, 相片立可得, 廁所, 休憩區"
全家台東中興店,022151,台東縣台東市光明里中興路二段４４２號一樓,"089-719248 , 089-239473","夯番薯, 休憩區, 生鮮蔬菜"
