Title,URL,Name,Address,Phone,area,id,service,area_href
前往全家便利商店 全家基隆廟口店,https://twcoupon.com/brandshop-11428-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%9f%ba%e9%9a%86%e5%bb%9f%e5%8f%a3%e5%ba%97.html,全家基隆廟口店,200基隆市仁愛區仁德里仁三路33號一樓,02-24289166,"基隆市', '仁愛區",019180,,"/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-仁愛區-電話-地址.html"
前往全家便利商店 全家基隆觀海店,https://twcoupon.com/brandshop-11426-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%9f%ba%e9%9a%86%e8%a7%80%e6%b5%b7%e5%ba%97.html,全家基隆觀海店,202基隆市中正區砂子里觀海街136號138號一樓,02-24606545,"基隆市', '中正區",020469,"夯番薯,廁所,休憩區,相片立可得","/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-中正區-電話-地址.html"
前往全家便利商店 全家基隆精一店,https://twcoupon.com/brandshop-11432-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%9f%ba%e9%9a%86%e7%b2%be%e4%b8%80%e5%ba%97.html,全家基隆精一店,200基隆市仁愛區精一路41號1樓,02-24249183,"基隆市', '仁愛區",018477,夯番薯,"/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-仁愛區-電話-地址.html"
前往全家便利商店 全家基隆新和一店,https://twcoupon.com/brandshop-11423-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%9f%ba%e9%9a%86%e6%96%b0%e5%92%8c%e4%b8%80%e5%ba%97.html,全家基隆新和一店,202基隆市中正區和一路110號,02-24635157,"基隆市', '中正區",019434,"Fami 霜淇淋,夯番薯,休憩區","/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-中正區-電話-地址.html"
前往全家便利商店 全家基隆東信店,https://twcoupon.com/brandshop-11447-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%9f%ba%e9%9a%86%e6%9d%b1%e4%bf%a1%e5%ba%97.html,全家基隆東信店,201基隆市信義區東信路5號,02-24669537,"基隆市', '信義區",020367,"夯番薯,休憩區","/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-信義區-電話-地址.html"
前往全家便利商店 全家基隆中山店,https://twcoupon.com/brandshop-11412-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%9f%ba%e9%9a%86%e4%b8%ad%e5%b1%b1%e5%ba%97.html,全家基隆中山店,203基隆市中山區中山二路53號.53-1號,02-24285091,"基隆市', '中山區",021863,"夯番薯,休憩區,雙口味霜淇淋","/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-中山區-電話-地址.html"
前往全家便利商店 全家基隆正港店,https://twcoupon.com/brandshop-11419-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%9f%ba%e9%9a%86%e6%ad%a3%e6%b8%af%e5%ba%97.html,全家基隆正港店,202基隆市中正區中正路644號,02-24636316,"基隆市', '中正區",018271,"夯番薯,休憩區","/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-中正區-電話-地址.html"
前往全家便利商店 全家基隆新國揚店,https://twcoupon.com/brandshop-11438-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%9f%ba%e9%9a%86%e6%96%b0%e5%9c%8b%e6%8f%9a%e5%ba%97.html,全家基隆新國揚店,204基隆市安樂區基金一路121巷14號,02-34012842,"基隆市', '安樂區",016317,休憩區,"/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-安樂區-電話-地址.html"
前往全家便利商店 全家基隆萬金店,https://twcoupon.com/brandshop-11440-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%9f%ba%e9%9a%86%e8%90%ac%e9%87%91%e5%ba%97.html,全家基隆萬金店,204基隆市安樂區基金一路146號之地下室,02-24333875,"基隆市', '安樂區",017089,"Fami 霜淇淋,夯番薯,廁所,休憩區,相片立可得","/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-安樂區-電話-地址.html"
前往全家便利商店 全家基隆暖港店,https://twcoupon.com/brandshop-11452-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%9f%ba%e9%9a%86%e6%9a%96%e6%b8%af%e5%ba%97.html,全家基隆暖港店,205基隆市暖暖區過港路254號,02-24574786,"基隆市', '暖暖區",021672,休憩區,"/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-暖暖區-電話-地址.html"
前往全家便利商店 全家基隆基金店,https://twcoupon.com/brandshop-11441-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%9f%ba%e9%9a%86%e5%9f%ba%e9%87%91%e5%ba%97.html,全家基隆基金店,204基隆市安樂區基金三路145號,02-24329658,"基隆市', '安樂區",016993,"Fami 霜淇淋,夯番薯,休憩區","/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-安樂區-電話-地址.html"
前往全家便利商店 全家基隆百福店,https://twcoupon.com/brandshop-11411-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%9f%ba%e9%9a%86%e7%99%be%e7%a6%8f%e5%ba%97.html,全家基隆百福店,206基隆市七堵區百福里福二街204號1樓,02-24529098,"基隆市', '七堵區",017151,"Fami 霜淇淋,夯番薯,廁所,休憩區","/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-七堵區-電話-地址.html"
前往全家便利商店 全家基隆暖東店,https://twcoupon.com/brandshop-11451-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%9f%ba%e9%9a%86%e6%9a%96%e6%9d%b1%e5%ba%97.html,全家基隆暖東店,205基隆市暖暖區暖暖街163號,02-24582882,"基隆市', '暖暖區",021983,"夯番薯,廁所,休憩區,雙口味霜淇淋","/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-暖暖區-電話-地址.html"
前往全家便利商店 全家七堵永富店,https://twcoupon.com/brandshop-11406-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e4%b8%83%e5%a0%b5%e6%b0%b8%e5%af%8c%e5%ba%97.html,全家七堵永富店,206基隆市七堵區永平里永富路120號、崇智街48號一樓,02-24558170,"基隆市', '七堵區",022013,"休憩區,雙口味霜淇淋","/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-七堵區-電話-地址.html"
前往全家便利商店 全家基隆情人湖店,https://twcoupon.com/brandshop-11437-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%9f%ba%e9%9a%86%e6%83%85%e4%ba%ba%e6%b9%96%e5%ba%97.html,全家基隆情人湖店,204基隆市安樂區基金一路208巷200號B1,02-24326530,"基隆市', '安樂區",014998,"夯番薯,休憩區","/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-安樂區-電話-地址.html"
前往全家便利商店 全家基隆長樂店,https://twcoupon.com/brandshop-11442-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%9f%ba%e9%9a%86%e9%95%b7%e6%a8%82%e5%ba%97.html,全家基隆長樂店,204基隆市安樂區麥金路222號地下一樓(基隆長庚醫院),02-24331198,"基隆市', '安樂區",022699,夯番薯,"/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-安樂區-電話-地址.html"
前往全家便利商店 全家七堵長安店,https://twcoupon.com/brandshop-11408-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e4%b8%83%e5%a0%b5%e9%95%b7%e5%ae%89%e5%ba%97.html,全家七堵長安店,206基隆市七堵區長安街212巷2-4號一樓及地下室,02-24519266,"基隆市', '七堵區",021481,Fami 霜淇淋,"/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-七堵區-電話-地址.html"
前往全家便利商店 全家七堵工明店,https://twcoupon.com/brandshop-11405-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e4%b8%83%e5%a0%b5%e5%b7%a5%e6%98%8e%e5%ba%97.html,全家七堵工明店,206基隆市七堵區工建路1-15號壹樓,02-24519520,"基隆市', '七堵區",017681,"夯番薯,廁所,休憩區","/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-七堵區-電話-地址.html"
前往全家便利商店 全家新龍口店,https://twcoupon.com/brandshop-10183-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%85%a8%e5%ae%b6%e6%96%b0%e9%be%8d%e5%8f%a3%e5%ba%97.html,全家新龍口店,100台北市中正區汀州路一段244號,02-23047184,"台北市', '中正區",021261,"夯番薯,休憩區","/brandshopcity-全家便利商店-台北市-電話-地址.html', '/brandshoparea-全家便利商店-台北市-中正區-電話-地址.html"
前往全家便利商店 全家七堵新明德店,https://twcoupon.com/brandshop-11407-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%85%a8%e5%ae%b6%e4%b8%83%e5%a0%b5%e6%96%b0%e6%98%8e%e5%be%b7%e5%ba%97.html,全家七堵新明德店,206基隆市七堵區明德二路15-53號,02-24517467,"基隆市', '七堵區",017207,休憩區,"/brandshopcity-全家便利商店-基隆市-電話-地址.html', '/brandshoparea-全家便利商店-基隆市-七堵區-電話-地址.html"
前往全家便利商店 全家新惠安店,https://twcoupon.com/brandshop-10181-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%85%a8%e5%ae%b6%e6%96%b0%e6%83%a0%e5%ae%89%e5%ba%97.html,全家新惠安店,100台北市中正區中華路二段307巷46號,02-23036887,"台北市', '中正區",021130,"Fami 霜淇淋,夯番薯,休憩區","/brandshopcity-全家便利商店-台北市-電話-地址.html', '/brandshoparea-全家便利商店-台北市-中正區-電話-地址.html"
前往全家便利商店 全家水源店,https://twcoupon.com/brandshop-10185-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%85%a8%e5%ae%b6%e6%b0%b4%e6%ba%90%e5%ba%97.html,全家水源店,100台北市中正區汀州路三段261號,02-23642257,"台北市', '中正區",014142,"夯番薯,休憩區","/brandshopcity-全家便利商店-台北市-電話-地址.html', '/brandshoparea-全家便利商店-台北市-中正區-電話-地址.html"
前往全家便利商店 全家寶慶店,https://twcoupon.com/brandshop-10191-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%af%b6%e6%85%b6%e5%ba%97.html,全家寶慶店,100台北市中正區延平南路111號,02-23898700,"台北市', '中正區",022422,"Fami 霜淇淋,夯番薯,休憩區","/brandshopcity-全家便利商店-台北市-電話-地址.html', '/brandshoparea-全家便利商店-台北市-中正區-電話-地址.html"
前往全家便利商店 全家郡王店,https://twcoupon.com/brandshop-10189-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%85%a8%e5%ae%b6%e9%83%a1%e7%8e%8b%e5%ba%97.html,全家郡王店,100台北市中正區延平南路68號,02-23719902,"台北市', '中正區",014575,"夯番薯,休憩區","/brandshopcity-全家便利商店-台北市-電話-地址.html', '/brandshoparea-全家便利商店-台北市-中正區-電話-地址.html"
前往全家便利商店 全家文祥店,https://twcoupon.com/brandshop-10193-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%85%a8%e5%ae%b6%e6%96%87%e7%a5%a5%e5%ba%97.html,全家文祥店,100台北市中正區杭州南路一段147號,02-23914884,"台北市', '中正區",018150,"Fami 霜淇淋,夯番薯,休憩區","/brandshopcity-全家便利商店-台北市-電話-地址.html', '/brandshoparea-全家便利商店-台北市-中正區-電話-地址.html"
前往全家便利商店 全家鴻啟店,https://twcoupon.com/brandshop-10192-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%85%a8%e5%ae%b6%e9%b4%bb%e5%95%9f%e5%ba%97.html,全家鴻啟店,100台北市中正區忠孝西路一段100號,02-23142878,"台北市', '中正區",016266,"夯番薯,休憩區","/brandshopcity-全家便利商店-台北市-電話-地址.html', '/brandshoparea-全家便利商店-台北市-中正區-電話-地址.html"
前往全家便利商店 全家文盛店,https://twcoupon.com/brandshop-10186-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%85%a8%e5%ae%b6%e6%96%87%e7%9b%9b%e5%ba%97.html,全家文盛店,100台北市中正區汀州路三段173號,02-23681345,"台北市', '中正區",022824,"Fami 霜淇淋,夯番薯,休憩區","/brandshopcity-全家便利商店-台北市-電話-地址.html', '/brandshoparea-全家便利商店-台北市-中正區-電話-地址.html"
前往全家便利商店 全家和醫店,https://twcoupon.com/brandshop-10190-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%92%8c%e9%86%ab%e5%ba%97.html,全家和醫店,100台北市中正區延平南路159號1樓,02-23122560,"台北市', '中正區",020430,"夯番薯,休憩區","/brandshopcity-全家便利商店-台北市-電話-地址.html', '/brandshoparea-全家便利商店-台北市-中正區-電話-地址.html"
前往全家便利商店 全家和鄰店,https://twcoupon.com/brandshop-10188-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%92%8c%e9%84%b0%e5%ba%97.html,全家和鄰店,100台北市中正區和平西路一段82號1樓,02-23628326,"台北市', '中正區",017366,夯番薯,"/brandshopcity-全家便利商店-台北市-電話-地址.html', '/brandshoparea-全家便利商店-台北市-中正區-電話-地址.html"
前往全家便利商店 全家重慶店,https://twcoupon.com/brandshop-10201-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%85%a8%e5%ae%b6%e9%87%8d%e6%85%b6%e5%ba%97.html,全家重慶店,100台北市中正區重慶南路一段58號,02-23122797,"台北市', '中正區",017294,"夯番薯,休憩區,雙口味霜淇淋","/brandshopcity-全家便利商店-台北市-電話-地址.html', '/brandshoparea-全家便利商店-台北市-中正區-電話-地址.html"
前往全家便利商店 全家金門店,https://twcoupon.com/brandshop-10184-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%85%a8%e5%ae%b6%e9%87%91%e9%96%80%e5%ba%97.html,全家金門店,100台北市中正區汀州路二段216號1樓,02-23642756,"台北市', '中正區",022692,"Fami 霜淇淋,夯番薯","/brandshopcity-全家便利商店-台北市-電話-地址.html', '/brandshoparea-全家便利商店-台北市-中正區-電話-地址.html"
前往全家便利商店 全家南陽店,https://twcoupon.com/brandshop-10195-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%8d%97%e9%99%bd%e5%ba%97.html,全家南陽店,100台北市中正區信陽街15號,02-23881469,"台北市', '中正區",020383,"Fami 霜淇淋,夯番薯","/brandshopcity-全家便利商店-台北市-電話-地址.html', '/brandshoparea-全家便利商店-台北市-中正區-電話-地址.html"
前往全家便利商店 全家林森南路店,https://twcoupon.com/brandshop-10194-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%85%a8%e5%ae%b6%e6%9e%97%e6%a3%ae%e5%8d%97%e8%b7%af%e5%ba%97.html,全家林森南路店,100台北市中正區林森南路57.59號,02-23519110,"台北市', '中正區",022269,"Fami 霜淇淋,夯番薯,休憩區","/brandshopcity-全家便利商店-台北市-電話-地址.html', '/brandshoparea-全家便利商店-台北市-中正區-電話-地址.html"
前往全家便利商店 全家富陽店,https://twcoupon.com/brandshop-10210-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%af%8c%e9%99%bd%e5%ba%97.html,全家富陽店,100台北市中正區襄陽路7號1樓,02-23754181,"台北市', '中正區",022538,"夯番薯,休憩區","/brandshopcity-全家便利商店-台北市-電話-地址.html', '/brandshoparea-全家便利商店-台北市-中正區-電話-地址.html"
前往全家便利商店 全家西站店,https://twcoupon.com/brandshop-10211-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%85%a8%e5%ae%b6%e8%a5%bf%e7%ab%99%e5%ba%97.html,全家西站店,100台北市中正區懷寧街7之1號,02-23120577,"台北市', '中正區",022172,"夯番薯,休憩區","/brandshopcity-全家便利商店-台北市-電話-地址.html', '/brandshoparea-全家便利商店-台北市-中正區-電話-地址.html"
前往全家便利商店 全家大龍店,https://twcoupon.com/brandshop-10035-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%85%a8%e5%ae%b6%e5%a4%a7%e9%be%8d%e5%ba%97.html,全家大龍店,103台北市大同區大龍街133號1樓,02-25980054,"台北市', '大同區",019761,,"/brandshopcity-全家便利商店-台北市-電話-地址.html', '/brandshoparea-全家便利商店-台北市-大同區-電話-地址.html"
前往全家便利商店 全家萬全店,https://twcoupon.com/brandshop-10038-%e5%85%a8%e5%ae%b6%e4%be%bf%e5%88%a9%e5%95%86%e5%ba%97-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%85%a8%e5%ae%b6%e8%90%ac%e5%85%a8%e5%ba%97.html,全家萬全店,103台北市大同區民生西路63號,02-25576965,"台北市', '大同區",021129,"夯番薯,休憩區,雙口味霜淇淋","/brandshopcity-全家便利商店-台北市-電話-地址.html', '/brandshoparea-全家便利商店-台北市-大同區-電話-地址.html"
